Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.33275463718423076,13
$A_{2}$,0.250563020278094,17
$A_{3}$,0.5228753752265962,10
$A_{4}$,0.7137324822352266,6
$A_{5}$,0.5505348188252637,7
$A_{6}$,0.3006009831589751,14
$A_{7}$,0.2255252655127386,20
$A_{8}$,0.23320011488163744,19
$A_{9}$,0.4939659372565488,11
$A_{10}$,0.10690206168073746,27
$A_{11}$,0.13071242282815115,25
$A_{12}$,0.5351055906816186,8
$A_{13}$,0.0799554451575023,29
$A_{14}$,0.2430792254228491,18
$A_{15}$,0.25184252286146264,16
$A_{16}$,0.40813076163576517,12
$A_{17}$,0.11878416342767574,26
$A_{18}$,0.04678865530047943,30
$A_{19}$,0.1613996007876433,23
$A_{20}$,0.8436007507446353,3
$A_{21}$,0.09377837306855433,28
$A_{22}$,0.5328583072802225,9
$A_{23}$,0.14259784063545355,24
$A_{24}$,0.28547873433257387,15
$A_{25}$,0.1727132693293032,22
$A_{26}$,0.8397599945506976,4
$A_{27}$,0.8889305289401368,2
$A_{28}$,0.17375251086341892,21
$A_{29}$,0.8993109188327324,1
$A_{30}$,0.7881424785393197,5
