Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.3922409757330696,13
$A_{2}$,0.20137171093630324,19
$A_{3}$,0.4606331986391304,11
$A_{4}$,0.7522713007322103,6
$A_{5}$,0.5255339750307022,7
$A_{6}$,0.3091344906179866,15
$A_{7}$,0.23415253315562834,17
$A_{8}$,0.36112272780394844,14
$A_{9}$,0.4868439753858589,9
$A_{10}$,0.09656436679309767,27
$A_{11}$,0.13723163785259607,23
$A_{12}$,0.4959036825516858,8
$A_{13}$,0.06980506372861417,30
$A_{14}$,0.20083073913501248,20
$A_{15}$,0.20454452803974874,18
$A_{16}$,0.4446834723151296,12
$A_{17}$,0.10611642889514898,26
$A_{18}$,0.08468876737271888,28
$A_{19}$,0.19937083806289943,21
$A_{20}$,0.81366608567934,5
$A_{21}$,0.07469212587685316,29
$A_{22}$,0.4744403928619446,10
$A_{23}$,0.12157302908213662,25
$A_{24}$,0.27024944131814577,16
$A_{25}$,0.12297869363535871,24
$A_{26}$,0.8596533288582807,3
$A_{27}$,0.9163428095736674,2
$A_{28}$,0.1772449525422109,22
$A_{29}$,0.9206636310771171,1
$A_{30}$,0.8226698064808099,4
