Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.39067481890611844,13
$A_{2}$,0.23818291297867497,17
$A_{3}$,0.49772252151324076,11
$A_{4}$,0.7408397754595938,6
$A_{5}$,0.5365839080093785,7
$A_{6}$,0.31241181972157567,15
$A_{7}$,0.2209652325912504,18
$A_{8}$,0.35275014667066673,14
$A_{9}$,0.5010636322049367,10
$A_{10}$,0.10048989534029135,27
$A_{11}$,0.11568402057436679,26
$A_{12}$,0.507263261560559,9
$A_{13}$,0.0749217994206703,29
$A_{14}$,0.20903717545830364,20
$A_{15}$,0.22058640043076425,19
$A_{16}$,0.4188848029364247,12
$A_{17}$,0.12329581792466393,25
$A_{18}$,0.06417180679429062,30
$A_{19}$,0.168534045774845,22
$A_{20}$,0.8322741046616361,3
$A_{21}$,0.07786555629424514,28
$A_{22}$,0.509899256420396,8
$A_{23}$,0.13346891670594355,24
$A_{24}$,0.2576643805120783,16
$A_{25}$,0.13857280345424727,23
$A_{26}$,0.8044918507957315,5
$A_{27}$,0.9039483366521204,2
$A_{28}$,0.18401312816025736,21
$A_{29}$,0.9057829412260618,1
$A_{30}$,0.8142265825444536,4
