Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.30183155951103335,16
$A_{2}$,0.09723893877966638,19
$A_{3}$,0.37648678771690597,14
$A_{4}$,0.4404679099363575,11
$A_{5}$,0.9858280556213275,1
$A_{6}$,0.05238992161627761,25
$A_{7}$,0.11520805575888483,18
$A_{8}$,0.7723477648641135,6
$A_{9}$,0.9391200069446135,2
$A_{10}$,0.0630015984848023,24
$A_{11}$,0.03139761215920961,27
$A_{12}$,0.9386563194951629,3
$A_{13}$,0.0033471350077093225,29
$A_{14}$,0.07609815653662587,22
$A_{15}$,0.08719375965854607,21
$A_{16}$,0.009728157824732523,28
$A_{17}$,0.17950067665611913,17
$A_{18}$,0.0,30
$A_{19}$,0.32961168136386704,15
$A_{20}$,0.7153577573545504,7
$A_{21}$,0.6219185500862563,9
$A_{22}$,0.3816407634490846,13
$A_{23}$,0.38375092350214246,12
$A_{24}$,0.03508140300387398,26
$A_{25}$,0.06995591880235251,23
$A_{26}$,0.5108298815481721,10
$A_{27}$,0.8221050049119063,4
$A_{28}$,0.7824388599155028,5
$A_{29}$,0.09596531959227346,20
$A_{30}$,0.6219975052934312,8
