Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.2157301340711847,23
$A_{2}$,0.560270935438129,11
$A_{3}$,0.4642212732474584,13
$A_{4}$,0.8161454094527495,4
$A_{5}$,0.4580592853437693,14
$A_{6}$,0.41169965300379013,16
$A_{7}$,0.2850965355643053,20
$A_{8}$,0.5450789969299263,12
$A_{9}$,0.44181372913396644,15
$A_{10}$,0.345183627093544,18
$A_{11}$,0.07257800501531629,29
$A_{12}$,0.7016604531076026,8
$A_{13}$,0.11091306760994156,27
$A_{14}$,0.6503311013430152,9
$A_{15}$,0.409392341923269,17
$A_{16}$,0.07426070875457706,28
$A_{17}$,0.2550447918784444,22
$A_{18}$,0.18568825264366287,25
$A_{19}$,0.05199274050423916,30
$A_{20}$,0.8919019682203877,2
$A_{21}$,0.15801505076906047,26
$A_{22}$,0.7561045703501763,5
$A_{23}$,0.6177396992308759,10
$A_{24}$,0.31665068503872734,19
$A_{25}$,0.2675984562530898,21
$A_{26}$,0.7311764150640997,6
$A_{27}$,0.9338386036825312,1
$A_{28}$,0.19193353203962316,24
$A_{29}$,0.7251704611102516,7
$A_{30}$,0.8667383488760114,3
