Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.1838952324661574,25
$A_{2}$,0.5405215556151711,11
$A_{3}$,0.35792867861552075,17
$A_{4}$,0.8141487080825544,4
$A_{5}$,0.41892879569462244,15
$A_{6}$,0.5737279948898907,9
$A_{7}$,0.3551851759464707,18
$A_{8}$,0.5130385955551507,12
$A_{9}$,0.383157770593497,16
$A_{10}$,0.4707032967738797,14
$A_{11}$,0.06508236451780025,30
$A_{12}$,0.5558862525218967,10
$A_{13}$,0.16204672060889447,26
$A_{14}$,0.6095938781635309,8
$A_{15}$,0.2752442621244223,21
$A_{16}$,0.06555823940536591,29
$A_{17}$,0.19281280317262553,24
$A_{18}$,0.26196008212690025,22
$A_{19}$,0.14996449549047153,27
$A_{20}$,0.8350124030852374,3
$A_{21}$,0.14642424733281137,28
$A_{22}$,0.7069945355916405,7
$A_{23}$,0.4962946143340137,13
$A_{24}$,0.33107003372775307,19
$A_{25}$,0.28717838304764903,20
$A_{26}$,0.7921957046195293,5
$A_{27}$,0.9521194131859746,1
$A_{28}$,0.24068087005090374,23
$A_{29}$,0.7117704255550702,6
$A_{30}$,0.852803753639364,2
