Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.24421342113571093,16
$A_{2}$,0.10137125634252463,19
$A_{3}$,0.3969735378143938,12
$A_{4}$,0.3717467295968874,14
$A_{5}$,0.9845070439549011,1
$A_{6}$,0.04866796777824733,25
$A_{7}$,0.12966284992952676,18
$A_{8}$,0.715128980711518,7
$A_{9}$,0.9339414721725207,3
$A_{10}$,0.06660770344580051,24
$A_{11}$,0.029764614027278792,27
$A_{12}$,0.9443636085968039,2
$A_{13}$,0.003427016320099776,29
$A_{14}$,0.08096237577401283,22
$A_{15}$,0.0909727577220547,21
$A_{16}$,0.008986575525155756,28
$A_{17}$,0.17980197931835912,17
$A_{18}$,0.0,30
$A_{19}$,0.33066272467543345,15
$A_{20}$,0.7315434501022496,6
$A_{21}$,0.6433847068080039,8
$A_{22}$,0.38685485781857637,13
$A_{23}$,0.4107492130152181,11
$A_{24}$,0.03631637635108627,26
$A_{25}$,0.0779092388178349,23
$A_{26}$,0.5903311561845785,10
$A_{27}$,0.8169460897461569,4
$A_{28}$,0.776633891590749,5
$A_{29}$,0.09498683614136201,20
$A_{30}$,0.6084055000798665,9
