Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.2987674263369432,16
$A_{2}$,0.09305086325338369,19
$A_{3}$,0.36677423416522725,13
$A_{4}$,0.4448476793587354,11
$A_{5}$,0.9858991834078308,1
$A_{6}$,0.05011687387582318,25
$A_{7}$,0.13227348099015035,18
$A_{8}$,0.7719567435432593,6
$A_{9}$,0.9392087843691186,2
$A_{10}$,0.06232254828356176,24
$A_{11}$,0.03575014506795175,26
$A_{12}$,0.9366183619826571,3
$A_{13}$,0.0034499509507153426,29
$A_{14}$,0.08043694072942298,22
$A_{15}$,0.08858278988362736,21
$A_{16}$,0.011273223301774162,28
$A_{17}$,0.16448433104768886,17
$A_{18}$,0.0,30
$A_{19}$,0.3530776780905133,15
$A_{20}$,0.7042594183159074,7
$A_{21}$,0.6153731057457658,9
$A_{22}$,0.36647114790556284,14
$A_{23}$,0.37449640758836017,12
$A_{24}$,0.03476179778626918,27
$A_{25}$,0.0669075260978332,23
$A_{26}$,0.5792984016710641,10
$A_{27}$,0.82104483596274,4
$A_{28}$,0.7824585208786281,5
$A_{29}$,0.09229318043795746,20
$A_{30}$,0.6295871266254066,8
