Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.3809952519970286,14
$A_{2}$,0.18964125402309687,21
$A_{3}$,0.4114848378590733,12
$A_{4}$,0.729546853446309,6
$A_{5}$,0.509225507561065,7
$A_{6}$,0.3850627556033479,13
$A_{7}$,0.21473649330754768,20
$A_{8}$,0.3493012942267465,15
$A_{9}$,0.4862724743031486,8
$A_{10}$,0.11512948452975333,25
$A_{11}$,0.12743849390447862,24
$A_{12}$,0.44646711304579895,11
$A_{13}$,0.17389289725744292,23
$A_{14}$,0.23067902294038473,18
$A_{15}$,0.22214663461551465,19
$A_{16}$,0.4521102063793253,10
$A_{17}$,0.10041092437315927,26
$A_{18}$,0.08900216256387967,29
$A_{19}$,0.24458262889682875,17
$A_{20}$,0.8183543273922048,5
$A_{21}$,0.08237342502645893,30
$A_{22}$,0.46685760363657913,9
$A_{23}$,0.0913563211246069,28
$A_{24}$,0.32124837262468003,16
$A_{25}$,0.10020824936574396,27
$A_{26}$,0.8363003693038514,3
$A_{27}$,0.9067531642337894,2
$A_{28}$,0.18134192855934053,22
$A_{29}$,0.9091381179109939,1
$A_{30}$,0.8187916798848266,4
