Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.30800849484059034,16
$A_{2}$,0.10381296058471245,19
$A_{3}$,0.3544048521031219,13
$A_{4}$,0.41764436594437254,11
$A_{5}$,0.988488190916595,1
$A_{6}$,0.05356070649022295,25
$A_{7}$,0.1247399849991568,18
$A_{8}$,0.7746246108528275,6
$A_{9}$,0.9286158231948798,2
$A_{10}$,0.062338734953315336,24
$A_{11}$,0.0356953303382565,26
$A_{12}$,0.9256337162214585,3
$A_{13}$,0.00582216988926722,29
$A_{14}$,0.08210782022658007,22
$A_{15}$,0.08815494289329781,21
$A_{16}$,0.015079251336836064,28
$A_{17}$,0.1506782874815908,17
$A_{18}$,6.70797052552149e-05,30
$A_{19}$,0.4086329985319382,12
$A_{20}$,0.7052599069291292,7
$A_{21}$,0.6246750541511658,8
$A_{22}$,0.35297949767220393,14
$A_{23}$,0.33507199836651297,15
$A_{24}$,0.03489193309184637,27
$A_{25}$,0.06579439836933569,23
$A_{26}$,0.578114305852344,10
$A_{27}$,0.8130725349340009,4
$A_{28}$,0.795247776272229,5
$A_{29}$,0.09228631014251226,20
$A_{30}$,0.6238690932108839,9
