Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.19932421989768562,23
$A_{2}$,0.5618362141646625,10
$A_{3}$,0.3795417824905995,17
$A_{4}$,0.8387791998569938,3
$A_{5}$,0.44719395496406195,14
$A_{6}$,0.48609604651385996,13
$A_{7}$,0.3483825644711493,20
$A_{8}$,0.5137472214726753,12
$A_{9}$,0.4217087886210352,15
$A_{10}$,0.3966324600757435,16
$A_{11}$,0.053658804691076395,30
$A_{12}$,0.6035643801868086,9
$A_{13}$,0.201359794268098,22
$A_{14}$,0.6397506522393173,8
$A_{15}$,0.36153380657113354,18
$A_{16}$,0.07735989414160596,29
$A_{17}$,0.198004633479486,25
$A_{18}$,0.2609803595699799,21
$A_{19}$,0.09728373090724429,28
$A_{20}$,0.846293903746801,2
$A_{21}$,0.15858840853966505,27
$A_{22}$,0.7360317367996281,6
$A_{23}$,0.5295673927576713,11
$A_{24}$,0.3519371678431164,19
$A_{25}$,0.1936658780157718,26
$A_{26}$,0.77209261735173,5
$A_{27}$,0.9295137315874735,1
$A_{28}$,0.19885713405173291,24
$A_{29}$,0.7131337485056789,7
$A_{30}$,0.8325701759966617,4
