Ai,V-COMET pref,V-COMET rank
$A_{1}$,0.20000279423889225,23
$A_{2}$,0.514654347849277,12
$A_{3}$,0.4160809971257338,15
$A_{4}$,0.8354973837885602,4
$A_{5}$,0.4288563015883646,14
$A_{6}$,0.3835823440251338,18
$A_{7}$,0.4021497276902365,17
$A_{8}$,0.5343927723744287,11
$A_{9}$,0.4420758705308261,13
$A_{10}$,0.3506688785782913,19
$A_{11}$,0.08021506994595053,29
$A_{12}$,0.6905064212094698,8
$A_{13}$,0.11105789751912296,27
$A_{14}$,0.6016924665001604,9
$A_{15}$,0.40741686734134364,16
$A_{16}$,0.08049492139766497,28
$A_{17}$,0.20939800881024487,22
$A_{18}$,0.24339861848755306,21
$A_{19}$,0.05972129916197058,30
$A_{20}$,0.8524618905810354,3
$A_{21}$,0.14097030049125378,26
$A_{22}$,0.7382206037005855,6
$A_{23}$,0.5886410499255628,10
$A_{24}$,0.31992163585947736,20
$A_{25}$,0.19473625155725216,24
$A_{26}$,0.7605064975516893,5
$A_{27}$,0.9175036029674369,1
$A_{28}$,0.1700664616731655,25
$A_{29}$,0.7301067110500349,7
$A_{30}$,0.8632916140277359,2
