Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
A1,0.340579702,8.309068109,4.269640796,3.811706533,2.173236465,0.019104088,0.469690997,0.003457488,5.147762668,7.589279715,0.24472113,0.471314164,3.906989488,4.218307361,1.352673314
A2,11.19628855,3.635297667,3.464850977,3.302958813,0.755869197,0.034137176,0.259201539,0.01616244,5.268067534,28.23551357,2.780505119,2.280158635,6.779676871,12.41923503,1.39262036
A3,3.059798437,0.816088606,3.22805648,2.902364867,3.704985858,0.027185639,0.651761894,0.023469602,4.767295119,17.84408163,1.556516884,1.224980332,3.027916059,10.79575354,1.314249492
A4,0.045193639,42.78660925,2.677441356,12.40883693,4.483263914,0.039922342,0.433374216,0,5.075587755,17.74918094,24.89342252,2.905859627,12.07643782,21.83057196,1.523689556
A5,3.345758356,18.03178304,7.786474012,1.899169039,6.786293738,0.011528855,0.602344604,0,4.91366071,11.40996273,1.665770234,1.045908664,8.384917542,6.939781183,1.346951483
A6,0.31323066,6.588175918,0.294399856,11.68920925,0.802856564,0.053736081,0.031609459,0.050575135,2.495464657,28.56467507,20.67526728,4.442764493,5.341491865,25.43119199,0.655403868
A7,8.851381226,10.25139354,6.370658394,0.020064963,0.507768424,0.011995629,0.091658908,0,3.137834629,23.85190009,0,6.438194632,7.94033327,9.128131184,0.982976601
A8,10.61135214,17.85940297,4.501828073,1.491071586,0.598282209,0.012084795,0.386289427,0.03053001,5.872574413,15.09646022,0,2.471934898,9.438717764,5.92111572,2.094082411
A9,11.66329096,5.587538078,2.121138849,0.741274913,1.01752595,0.014317915,0.511382226,0.072665025,7.174634045,14.42464127,2.730817684,4.200197839,5.843905303,8.522551354,2.191340185
A10,37.23312965,6.971808933,0.395557504,1.65405354,1.884839427,0.001948352,0.463123324,0.084363651,1.311729712,34.11518738,2.070564428,0.46532602,10.84129719,16.66812972,0.537956782
A11,2.344098522,28.10911218,0.053957939,1.082310867,1.665931937,0.007981053,0.032276003,0,3.830842816,5.450136796,0,0.89559617,7.119797937,2.50821281,1.259516529
A12,14.1010639,5.400271133,6.825688507,1.262881925,6.340193135,0.009113337,0.524747674,0.528269088,3.932667899,12.87362979,1.716221361,4.689165445,7.697580659,8.790937327,1.307242613
A13,0,4.290335684,3.942107673,0,1.124300894,0,0,0,1.330389055,27.82188229,0.260078324,9.143165755,2.420577553,10.9448621,0.53210558
A14,39.15939242,1.961344596,0.016675933,7.461137086,4.900078022,0.118154218,0.283098651,0.028545601,3.401731212,41.94116166,13.4556505,0.029556435,7.926520651,31.17202622,0.930427293
A15,3.581498301,9.835398065,0.686484344,2.814902893,1.489496631,0.048925916,0.022129978,0.035327977,3.998129905,24.51482598,20.80628634,0.696900114,3.401274453,20.73308338,1.374812091
A16,1.463078112,2.911766037,1.681939809,1.336982348,1.736941399,0.001755465,0.174294324,0,5.629269028,4.783874663,3.53073409,0.162595478,1.288246551,2.302552901,3.04548083
A17,0.505342336,1.465496799,1.355983357,3.878241749,1.107583797,0.015982258,0.64259701,0.006613348,4.078925592,16.40090626,1.690526396,0.076372042,1.572816154,9.792284899,1.169808485
A18,0,0.001347761,7.312685487,0,0.346854703,0.010874564,0,0,4.012920362,9.215377231,0,14.13176437,3.043642056,3.27308983,1.651409781
A19,0.077264457,8.216222659,3.038649691,1.238718461,2.619038089,0.121885605,0.390465898,0,4.725028857,4.003998276,1.264980912,0.804151642,3.025763573,3.209098998,1.105408621
A20,57.02401525,8.552520004,1.967385717,5.36159699,1.303840628,0.010377611,1.42942686,0.880083806,5.391091613,24.33147614,7.3537705,2.500550433,15.64519143,15.80432626,2.356268156
A21,1.332045716,7.789275835,0.171397392,3.042052167,0.691689392,0.003653418,0.415563521,0.031147513,4.565677869,13.64678415,0.932298816,0.564304716,2.495293626,7.646912756,1.334967984
A22,21.69080476,22.61661808,1.804486182,4.588106817,1.486481992,0.004442163,0.398842844,0.004873982,5.044551271,30.48109999,0,10.45087632,14.05434588,14.42674827,1.725104968
A23,27.29866607,10.87709709,2.901431693,0.601183537,0.114956215,0.023012609,0.586135594,0.011170975,4.750318571,24.94577318,0.487733803,0,8.631267172,13.89804332,1.345382187
A24,28.96720982,0.038388805,1.630592132,0.910246219,0.760080887,0.001478534,0.315531272,0.009432657,3.656503715,28.42819313,1.863751552,2.044839222,8.247640301,11.61879586,1.511557664
A25,14.19983626,0.020341426,1.926623633,3.523909893,1.827822421,0.023794824,0.492751156,0.066427218,5.557378061,8.272284542,2.326468727,0,4.81417783,5.664935575,1.416502265
A26,16.36268286,5.983562277,0.100028825,13.10586703,1.218270275,0.031184932,0.540312841,0,8.770014097,39.10122972,12.33244124,3.202739302,10.46509728,29.25090697,1.443949704
A27,45.44229403,12.38767308,0.27862018,6.979195904,1.140494397,0,2.029348522,0,21.2067598,34.83282029,20.65572803,9.850830772,23.49878088,27.66963273,4.72349794
A28,1.419433326,16.06350694,3.647958631,6.808727621,3.386340208,0.015380897,0.302529885,0,3.245031222,6.270593737,0.213205586,1.06018822,6.892602589,3.168441055,1.076817488
A29,68.15347016,0.036178587,0,0,30.30714441,0.342540412,0,0,6.128709622,7.036026981,71.29248325,0,50.03184622,25.99113223,0.667089612
A30,104.3524848,2.928635734,0.001740671,0.011851137,0.14139702,1.302711469,1.202431362,0,8.705124934,17.41647421,5.667083867,11.54171748,59.69684867,7.688340087,2.304341368
