Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
A1,28.6669659,479.2420143,266.1392949,298.4522786,170.1547721,0.658431642,38.44796905,0.325516767,434.1107253,1451.030866,44.67612496,61.16594566,1203.223408,1556.872937,473.5426427
A2,358.5437008,121.042612,119.199914,13.99767842,16.40765262,1.356319862,6.756938951,0.616509028,160.2380426,1103.420273,17.74625012,81.1846494,620.46179,1202.351173,168.9678104
A3,195.9839964,44.5956637,183.272141,177.7939811,231.0907997,1.701564918,37.8783147,0.764471195,301.1130219,2480.719475,210.8531575,125.5485961,792.392231,2817.121229,341.4573727
A4,1.804739508,1157.113163,63.95356836,299.5024076,121.8178477,1.262149225,17.38738774,0,235.5617655,1349.989751,1588.758897,187.579668,1625.54219,3126.328316,254.2113025
A5,1823.811672,7001.832677,3275.838349,928.460877,3462.596733,2.616112884,281.7166004,0,2545.236498,11810.29209,1593.173784,970.0568871,16208.20759,14373.52276,2829.569211
A6,2.122913074,56.53965794,0.832072227,72.22699914,3.869303525,0.419226139,0.295924334,0.468546862,0,419.4850482,308.1589758,52.85824837,134.4072486,780.5022724,1.183697334
A7,443.2025223,426.82689,337.8947549,0.394153052,23.18538263,0.567188306,4.019638865,0,49.48886978,1184.716251,0,255.5202951,1226.916876,1440.236546,54.07569695
A8,2663.129303,4428.362741,1173.063629,348.0653482,141.1006019,1.299213835,116.5719613,8.867134421,1159.428,4400.667646,0,518.4937055,8626.983314,4919.161351,1286.16631
A9,5172.881258,1934.616593,744.605761,293.0117799,406.375541,3.626207463,223.4146353,32.39621778,2990.322903,9136.347473,1560.787656,2179.924339,8292.053873,12877.05947,3249.759963
A10,597.7913043,87.58610295,5.635511608,16.68907997,20.40670679,0,8.441308501,1.322601332,1.01,1174.691889,28.97200726,15.7686061,718.3447958,1219.432502,10.77390983
A11,62.82171719,559.3219938,0.52966466,34.00490112,24.39716251,0.10857957,1.099531522,0,118.4816525,250.6849145,0,32.30189886,679.8673282,282.9868133,119.6897636
A12,3971.747308,1420.337418,1900.624162,354.6471195,1856.343465,1.982769746,156.4951309,162.2710254,1038.850993,7001.862998,927.9177093,2608.647159,9182.950546,10538.42787,1359.599919
A13,0,19.06674748,12.5483233,0,4.47300086,0,0,0,8.78,111.2663609,1.194229483,0,36.08807164,112.4605904,8.78
A14,245.53391,12.23393036,0.032846088,36.70670679,34.12682717,1.184855831,2.896314254,0.526602592,10.3,879.3828222,274.099551,0,324.0264477,1153.482373,14.90777268
A15,37.22934867,92.72116143,5.674978504,23.12983663,14.61736887,0.887773001,0.295924334,0.591848667,56.53,631.1646126,502.0540747,0,171.5971481,1133.218687,58.305546
A16,8.93654477,10.90736705,8.623215821,2.159071367,10.02595062,0.019654308,3.377014514,0,87.02103602,60.38740075,15.66592642,1.308747477,37.2554808,77.36207465,90.41770484
A17,19.97748489,60.6781571,20.98022356,128.3559759,49.72863285,0.591848667,28.16213242,0.271263972,185.8937613,1969.356071,204.0221649,5.299740057,250.6952293,2178.677976,214.9190064
A18,0,0.001108245,10.9961307,0,0.714273431,0,0,0,5.92,6.938473297,0.071653769,7.1711092,11.71151237,14.18123627,5.92
A19,8.390243623,719.1608127,137.7309544,163.9411866,266.4912501,8.535542837,40.03318638,0,236.4278959,905.6699273,324.8759127,154.5385506,1247.145718,1385.084391,284.9966251
A20,3551.193309,460.0030641,94.24041273,325.2964746,85.64892519,0.857627189,123.4805969,71.57768614,523.4099533,3443.477047,931.172805,276.2172149,4320.466275,4650.867067,719.3258635
A21,201.8569377,1035.329296,10.65133276,594.3875322,89.4516767,0.616509028,72.94534824,7.496749785,457.417431,5066.184198,333.7393714,156.9095646,1850.618168,5556.833134,538.476038
A22,1089.051692,1075.916757,74.85838349,213.3349097,65.4327601,0.044758536,18.99243416,0.282739669,259.7363141,1892.280501,0,604.182956,2499.27457,2496.463457,279.0562465
A23,1435.025966,550.9131519,156.4696475,40.05219261,5.588048151,1.325985844,35.4790807,0.75258656,257.15,3426.435464,82.23464221,0,2150.491353,3508.670106,294.7076531
A24,367.2620685,0.554738857,22.99845228,11.74368014,12.22149613,0,4.669836826,0.175118881,18.19207032,621.9308302,35.32530811,34.03798185,409.9354802,691.2941202,23.03702602
A25,375.3007279,0.455212179,45.82975064,97.07652623,51.76268272,0.616509028,12.60144454,1.750885641,141.06,429.1583071,141.5639629,0,555.4560604,570.72227,156.0288392
A26,1223.408133,266.7831475,1.89733448,911.6769561,79.86902059,0.270138501,18.85566737,0,174.736,5232.054992,1949.914444,425.5671785,2464.508786,7607.536614,193.8618059
A27,5687.424109,1357.207518,12.29578676,838.2631126,145.4925193,0,144.799599,0,1104.320169,5406.993408,3049.226139,1388.388262,7895.883446,9844.607809,1249.119768
A28,397.6388574,3492.435256,893.8182287,1677.985727,932.770054,3.278841617,112.3804715,0,1016.435188,2989.97212,91.42983075,609.6204983,7278.98881,3691.022449,1132.094502
A29,1083.650252,0.841743223,0,0,435.7076526,0.347108115,0,0,16.119,78.75427534,739.1401787,0,1519.85254,817.894454,16.46610811
A30,11559.79655,195.9217213,0,2.407566638,17.62682717,23.3877902,54.08426483,0,332.5576737,754.6216681,226.951371,468.107064,11698.28061,1449.680103,410.0297288
