Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
A1,0.332504529,7.014702944,3.608155767,4.163189524,2.138865344,0.012818198,0.459867296,0.002829242,5.266674412,7.520094495,0.232750686,0.382519939,3.595368289,4.134827414,1.382980773
A2,10.84609732,3.617523763,3.554728334,0.45660269,0.546704506,0.051499114,0.297605072,0.020012715,6.251374415,27.33905671,0.419349872,2.124187839,5.834581207,11.28256086,1.584219476
A3,3.05868899,0.765477248,3.011093563,3.038591107,3.780165392,0.026598309,0.626483459,0.02195967,4.895239874,17.11566849,1.583347401,1.016855657,2.990174628,10.4902612,1.315220606
A4,0.04497706,39.99013037,2.111786881,13.4801883,4.315624479,0.033685679,0.426069465,0,5.164138407,17.75188641,24.33485571,2.555881737,11.61892656,21.54093694,1.51720523
A5,3.514732845,15.90219084,6.619135536,1.788129201,6.787465624,0.007385123,0.555060222,0,4.531119119,10.95310937,1.464343791,0.958071105,7.686036415,6.519630417,1.270285397
A6,0.304726623,6.63725496,0.138992525,9.552110688,0.400461902,0.051548308,0.041883,0.054770077,0,28.43564784,19.28798042,3.972771543,4.658370948,24.47357031,0.036051449
A7,8.471829549,8.998697973,6.489880533,0.0159179,0.48816735,0.012314329,0.083155471,0,3.268399472,22.75687639,0,5.489520266,7.559402557,8.749273441,0.990938551
A8,10.86782328,18.15768825,5.102659252,1.547065891,0.613093111,0.006360602,0.4003889,0.030487021,4.725839818,15.53131427,0,2.17313022,9.971696227,5.871744829,1.719016393
A9,11.52469401,4.915203536,1.855368224,0.670088874,0.968982297,0.01094633,0.514645539,0.076192632,6.999303029,14.27004097,2.672956741,3.788956836,5.473982516,8.285516164,2.171887164
A10,36.77917087,6.432848503,0.420026792,1.152271721,1.652888151,0,0.423432883,0.071868748,0.02368033,34.82965411,1.317371957,0.481597344,10.26492895,16.86244219,0.152223149
A11,2.389489914,25.22449437,0.036011549,1.27165344,1.179729136,0.00477553,0.029121622,0,4.043370589,5.75887932,0,0.856569214,6.552888046,2.542583935,1.369746701
A12,13.87931339,5.183893677,7.347891721,1.27555282,6.416852463,0.007766245,0.516335197,0.541638761,3.450589026,13.62232777,1.713626738,4.747081679,7.805945624,9.308735502,1.152294255
A13,0,4.439613225,3.437259273,0,1.034097233,0,0,0,1.280644463,26.21588812,0.268228974,0,2.314459858,7.671162808,0.517292573
A14,39.9059597,1.977255522,0.005892575,7.034636557,5.428695555,0.12007004,0.286021175,0.049450591,0.904777025,41.1467064,13.41816782,0.030837407,8.16541957,30.52082468,0.332704149
A15,3.633007945,9.968783264,0.553502531,2.46830384,1.631261497,0.051257967,0.016475775,0.036894471,3.965878932,24.3744128,22.12445893,0,3.428392085,21.28728396,1.323192734
A16,1.463328643,2.612238306,1.532642142,0.73498657,1.711545092,0.001374916,0.180335902,0,5.54521408,5.106081185,2.230257041,0.137143948,1.162879145,2.119118125,2.915764224
A17,0.506187275,1.535857646,0.762624828,3.596792168,1.120913222,0.013827429,0.675815603,0.006337572,3.70620184,18.01702857,1.788081728,0.060974394,1.390222815,11.13162172,1.021154326
A18,0,0.000923145,6.45648149,0,0.387482,0.004225479,0,0,3.523827028,8.250963174,0,11.06293416,2.763026414,3.099277773,1.356731945
A19,0.078107504,7.986581211,1.828597258,1.468135685,2.447329129,0.104924492,0.379988821,0,2.886414722,3.560754031,1.440938843,0.671504899,2.731911357,3.025084792,0.699348486
A20,55.18655205,8.074076189,1.715086121,5.318029193,1.332578035,0.010141458,1.438334888,0.854168014,5.123271005,24.58532952,6.952101977,2.13222434,14.7514026,16.19906672,2.190404185
A21,1.350683726,7.877250808,0.096044169,3.08138948,0.683254865,0.003532006,0.408445139,0.031266039,3.161955018,13.59205267,0.81209395,0.478519299,2.497977139,7.689689637,0.929208703
A22,22.94069296,23.17746449,1.802381582,4.677945713,1.569587942,0.001749409,0.391789718,0.004788721,4.390946878,30.87024675,0,10.16025789,14.6050871,14.49089246,1.518165902
A23,27.12873811,10.89914797,3.068678828,0.758199355,0.110257024,0.023173953,0.625732583,0.012814476,4.865210992,26.01161081,0.5691443,0,8.675554185,14.4109432,1.367715694
A24,28.72619598,0.040284375,1.826922272,0.996473804,0.837366995,0.001265836,0.32832256,0.009824812,1.249482972,30.87669289,1.872754217,1.889718801,8.223008794,12.84417412,0.590858411
A25,14.09541323,0.019693439,1.660813339,3.544818984,2.021859717,0.024252238,0.480194308,0.064025908,5.563826846,7.373634149,2.462914404,0,4.781409589,5.267062821,1.416046886
A26,16.50550763,5.165719803,0.055161004,12.38261018,1.111286998,0.01486094,0.508649432,0,9.429932191,38.17977055,13.32601966,3.087479395,9.988311945,29.37312996,1.555278645
A27,45.56816818,11.88813802,0.158450219,7.061368459,1.232467139,0,1.928904041,0,18.9618832,35.5865614,20.91206958,9.267850727,23.13479755,28.00464326,4.336324351
A28,1.372329549,13.84576026,3.275174654,5.896019537,3.342122301,0.011508014,0.290798307,0,2.332127261,5.70921065,0.177743835,1.07127728,6.178151186,2.873005119,0.807252028
A29,66.45998874,0.045204426,0,0,26.87106652,0.214319851,0,0,5.293687979,7.650028647,68.65189283,0,48.43113798,24.47696269,0.579012274
A30,102.6850456,2.107537199,0,0.018315577,0.179340029,0.846060109,1.173501641,0,11.83246068,17.58752578,5.38922921,11.00384898,58.26258402,7.522139633,2.905370643
