Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
A1,26.76918388,653.0834655,335.588994,299.5958727,170.8139569,1.69138779,41.58427343,0.30611006,455.7591517,1422.941051,45.88363528,88.36836923,1442.269702,1557.193056,499.340923
A2,373.0895236,121.1375957,115.4578676,110.0631986,25.18753224,0.925982932,7.030933018,0.438411866,142.898187,1144.152025,112.6708942,92.39598613,736.5403899,1349.218906,151.2935148
A3,192.2551628,51.27698801,202.8272571,182.3631986,232.7939811,1.760418203,42.20513208,1.519784566,308.7083214,2517.120331,219.5652527,172.7980718,816.0312528,2909.483655,354.1936562
A4,1.383114783,1309.449594,81.94092863,379.7624248,137.2066685,1.715118055,18.61834531,0,218.0541481,1330.935151,1866.651265,217.8979827,1889.409267,3415.484398,238.3876114
A5,1691.561341,9116.578017,3936.715391,960.189166,3431.040413,6.299141647,329.1093389,0,2684.72834,12572.43741,1835.482946,1152.468376,18800.67585,15560.38874,3020.136821
A6,2.817901935,59.26889035,2.648495271,105.1590714,7.222699914,0.441006019,0.259415305,0.415064488,20.48,445.8775198,322.7285755,69.34890063,176.001573,837.954996,21.59548581
A7,452.8568373,524.4846583,325.9374033,1.026569218,25.97858985,0.607031814,4.638345658,0,158.7882939,1199.482865,0,323.7689289,1325.038681,1523.251794,164.0336714
A8,2582.901651,4347.144532,1095.786758,362.9406707,145.6274455,3.57718583,114.3444313,9.037101045,1738.324,4532.079118,0,742.0947939,8407.442339,5274.173912,1865.282718
A9,5149.278665,2466.867261,936.4711092,327.2687876,449.2320978,6.262959948,223.6894336,31.78522346,3138.337127,8931.828527,1690.939472,2600.788898,9067.380303,13223.5569,3400.074744
A10,606.2084951,113.5110006,6.440240757,26.93035254,30.68787618,0.04012602,9.537954999,1.737456674,27.01487556,1105.462453,67.09420082,15.07834145,772.4624275,1187.634996,38.33041325
A11,62.21734918,746.0754876,1.432158212,28.72682717,44.21736887,0.321337739,1.29951503,0,154.239602,266.5766218,0,43.80532276,881.0483383,310.3819445,155.8604548
A12,4024.0882,1541.101261,1947.87945,360.394669,1809.331308,2.895710415,166.7355531,167.854462,1249.58259,7126.737251,950.0862537,2595.884035,9345.309162,10672.70754,1587.068315
A13,0,18.66855647,17.1533104,0,4.892175408,0,0,0,8.95,137.5896747,1.286185153,45.21639438,40.71404229,184.0922542,8.95
A14,257.0363258,12.87396911,0.109458298,48.97377472,32.16337059,1.254576002,3.005976263,0.303100697,36.12,1031.398658,330.8954572,0.726838891,346.5932455,1363.020954,40.68365296
A15,38.84832422,106.6840469,7.446259673,30.53310404,16.15649183,0.95205417,0.430629407,0.687450559,77.8,641.6614121,544.5925289,18.24095801,197.5980926,1204.494899,79.87013414
A16,8.954929979,17.82178325,10.29449699,8.183147034,10.63114025,0.037277979,3.701207868,0,119.5397207,52.59775414,38.81972181,1.787705073,52.14701166,93.20518103,123.2782066
A17,20.15590278,58.45227859,54.08426483,154.6861565,44.17668924,0.752304385,30.24782459,0.311298366,192,1687.507123,173.9401036,7.858002702,300.2438646,1869.305229,223.3114273
A18,0,0.002992261,16.23542562,0,0.770077386,0.024903869,0,0,9.19,7.208971052,0,11.05494411,16.9835914,18.26391516,9.214903869
A19,8.10996274,862.4050731,318.9478934,130.0204643,274.9039101,13.08789127,41.92763553,0,507.3664283,1076.398018,340.0658174,216.1807209,1539.371777,1632.644556,562.3819551
A20,3626.527348,543.9102728,125.1188306,340.9787618,82.91969046,0.915120074,126.0499335,77.60768201,475.3980484,3246.117775,981.0833094,333.6041415,4514.882168,4560.805226,679.970784
A21,200.7993666,1174.195176,25.83731728,458.5744626,104.2687876,0.730098435,83.04615472,6.2245146,912.4044139,5174.469953,353.501027,213.9681969,1873.674342,5741.939177,1002.405182
A22,1039.670934,1084.046475,86.49157352,219.9144454,71.24918315,0.24785248,22.25361529,0.271946025,281.463,1894.663299,0,649.6121143,2478.599197,2544.275413,304.2364138
A23,1432.763611,570.8817004,152.2809114,31.55296647,6.033447979,1.439136251,36.6550787,0.698597708,297.07,3402.989658,66.53444158,0,2154.719825,3469.5241,335.8628127
A24,389.4532764,0.516123095,21.92269991,12.23791917,10.21900258,0.029112924,6.212935167,0.185732739,71.998,529.9656062,34.74453043,38.12041282,427.9212403,602.8305494,78.42578083
A25,370.73416,0.531080876,50.30094583,92.00343938,47.72141015,0.622596733,12.89294067,1.738082545,145.41,501.4942199,141.038502,0,546.0374163,642.5327219,160.6636199
A26,1269.043535,464.0682148,7.757953568,1016.454084,94.48560663,1.302585753,22.56871402,0,366.321,5656.844278,1784.156155,463.3459772,2827.938095,7904.34641,390.1922998
A27,5707.716238,1555.936476,34.99570077,876.6122098,143.250215,0,143.5156141,0,1499.742958,5131.675743,3043.063915,1451.253987,8174.995225,9625.993645,1643.258572
A28,426.0903705,4821.998679,1095.05675,2043.86724,1016.523233,6.254762425,123.026152,0,1319.617412,3543.636322,120.4866859,599.1332945,9274.255358,4263.256302,1448.898327
A29,1162.052413,0.61686388,0,0,516.7527085,1.184444502,0,0,21.192,78.31405847,793.5165281,0,1678.237541,871.8305866,22.3764445
A30,11943.52277,335.1930494,0.199226139,1.356405847,16.18340499,54.68615649,50.47652623,0,365.4299787,789.7650712,256.9788144,523.3691514,12191.29218,1570.113037,470.5926614
