Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
A1,26.2087046,552.9136031,284.4024076,328.1513328,168.5898538,1.131951849,40.61004729,0.249845228,465.0904705,1401.412406,43.37441483,71.28476753,1318.274057,1516.071588,507.0823149
A2,368.0732052,122.764302,120.633276,15.49527085,18.55296647,1.343071066,7.761391015,0.521921582,163.0327094,1124.985741,17.25599503,87.409052,635.8926368,1229.650788,172.6590931
A3,191.5766875,47.94459196,188.5956148,190.3178848,236.7653482,1.705270163,40.16509334,1.407877859,313.8435082,2472.75953,228.751648,146.9086362,811.9218859,2848.419814,357.1217495
A4,1.376200064,1223.610891,64.61607911,412.4644024,132.0487097,1.419390467,17.95299822,0,217.5977748,1337.85401,1833.97322,192.6215925,1814.743894,3364.448822,236.9701635
A5,1798.947858,8139.228045,3387.876182,915.2192605,3474.032674,4.168973172,313.3368371,0,2557.860349,12084.85488,1615.649183,1057.065156,17397.79821,14757.56922,2875.366159
A6,2.731917413,59.50393238,1.246087704,85.63602752,3.590197764,0.407910576,0.331427343,0.433404987,0,437.9053454,297.0324353,61.18017443,151.5354199,796.1179551,1.172742906
A7,448.0169275,475.8793829,343.2052451,0.841788478,25.81582115,0.6185454,4.176876827,0,164.1708226,1201.917933,0,289.9322709,1288.963743,1491.850203,168.9662448
A8,2636.563831,4405.10513,1237.919175,375.322442,148.7380757,1.842760755,115.9986123,8.832542928,1369.146,4482.211755,0,627.1478153,8676.974737,5109.35957,1495.819916
A9,5120.015963,2183.651952,824.2748065,297.6969046,430.4847338,4.90611896,230.6629016,34.14935563,3137.070902,8945.663422,1675.634387,2375.23723,8586.405984,12996.53504,3406.789278
A10,592.5431184,103.6385547,6.766981943,18.56405847,26.62940671,0,8.925607547,1.514932515,0.499161364,1152.321869,43.58459922,15.93340976,737.7015802,1211.839878,10.93970143
A11,61.62368337,650.5263926,0.928718831,32.79527085,30.42459157,0.189729407,1.15698736,0,160.6410749,261.7556129,0,38.93323459,774.9519404,300.6888475,161.9877917
A12,3959.300308,1478.790143,2096.105847,363.872227,1830.511727,2.386393843,158.6582938,166.4335147,1060.289073,7604.416417,956.6009214,2649.971904,9401.10205,11210.98924,1387.767275
A13,0,19.10356409,14.79045572,0,4.449699054,0,0,0,8.57,125.8012205,1.287140537,0,38.34371886,127.088361,8.57
A14,256.2156138,12.69493933,0.03783319,45.16577816,34.85485813,1.238154205,2.949431179,0.509931181,9.33,969.8294879,316.2667431,0.726838891,344.271506,1286.82307,14.02751656
A15,38.37743405,105.3056663,5.846947549,26.07403267,17.23190026,0.927996561,0.298284609,0.667953568,71.8,621.4732015,564.1062387,0,190.9417461,1185.57944,73.69423474
A16,8.904366119,15.89549031,9.326139295,4.472398968,10.41476513,0.027330009,3.58464166,0,110.225447,56.5265546,24.68992204,1.518243555,45.40118815,82.7347202,113.8374187
A17,19.91801226,60.43461173,30.00859845,141.5305245,44.10692328,0.611865864,29.90494411,0.280438521,164,1925.842474,191.1282832,6.517560685,265.2014217,2123.488318,194.7972485
A18,0,0.001994841,13.95193465,0,0.837317283,0.008693594,0,0,7.25,7.083691602,0,9.497850387,14.78255318,16.58154199,7.258693594
A19,8.107967899,829.0489511,189.8179708,152.400172,254.0455789,11.01470731,39.89026359,0,303.0085037,960.848822,388.8289889,181.2017021,1382.51567,1530.879513,353.9134746
A20,3510.906883,513.6637207,109.1118659,338.3270851,84.77712812,0.883385585,125.2881337,74.40347669,446.2695495,3493.035588,987.7410672,302.9422687,4356.211686,4783.718924,646.8445455
A21,200.0800751,1166.876378,14.22725709,456.4537403,101.2122098,0.675678375,78.13621414,5.981243766,604.8870975,5212.518845,311.4360371,183.5109768,1854.056524,5707.465859,689.6802338
A22,1085.157918,1096.357863,85.25760963,221.2797077,74.24582975,0.096455728,21.60178506,0.26403172,242.1,1896.336916,0,624.1372886,2540.336656,2520.474205,264.0622725
A23,1410.587803,566.7128757,159.5592433,39.42338779,5.732932072,1.415636126,38.22436501,0.7828028,297.203,3481.225375,76.17058374,0,2141.593438,3557.395959,337.6258039
A24,383.7896354,0.538209994,24.40816853,13.31315563,11.18744626,0.024425547,6.335305961,0.189579391,24.11,594.0848858,36.03284131,36.35924942,426.6873049,666.4769766,30.6593109
A25,369.256195,0.515907137,43.50816853,92.86328461,52.96646604,0.637360275,12.61973345,1.682631126,146.22,449.3515334,150.0907614,0,544.1702964,599.4422948,161.1597248
A26,1248.17402,390.6403484,4.171367154,936.3936371,84.03737656,0.614166233,21.02123515,0,389.716,5433.118884,1896.340601,439.3594399,2641.781348,7768.818925,411.3514014
A27,5687.440258,1483.778644,19.77644024,881.3413586,153.8263113,0,139.9449786,0,1375.714024,5296.527181,3112.448648,1379.380906,8086.218033,9788.356734,1515.659002
A28,412.7863668,4164.700148,985.1478074,1773.47816,1005.285154,4.690716681,118.5306552,0,950.5852182,3135.671055,97.62228688,588.3778623,8218.176264,3821.671204,1073.80659
A29,1099.39182,0.747778886,0,0,444.505503,0.718220299,0,0,17.74,78.2324926,702.0638674,0,1543.926881,780.29636,18.4582203
A30,11569.59384,237.4576478,0,2.063628547,20.20636285,35.76956148,49.61306965,0,500.2504257,784.7640203,240.4700487,490.9971346,11743.93885,1516.231204,585.6330568
