Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
A1,28.40422886,434.7717304,262.794497,305.588994,172.8030954,0.293202923,35.87926483,0.350920034,256.1011549,1361.097877,48.29702876,49.66451491,1167.839158,1459.05942,292.6245427
A2,363.0382922,117.4209328,118.9401548,12.99011178,10.24161651,1.246689596,6.256534824,0.623344798,142.2000338,1070.841693,11.44071845,74.85822192,614.5045389,1157.140633,150.326603
A3,196.9883057,44.77948182,194.655718,179.8361995,231.9531384,1.523731728,34.69952709,0.923473775,296.5032961,2430.347998,205.3835865,108.0044154,811.0661109,2743.736,333.6500287
A4,1.357849676,1123.453516,51.95717971,240.427859,119.9154843,0,14.70692249,0,231.9790771,1280.594952,1484.161785,168.2697779,1522.404966,2933.026515,246.6859996
A5,1844.072866,6264.129769,3329.836629,948.7532244,3389.079966,1.717510364,240.6471167,0,2561.292685,12098.12663,1546.718257,891.893793,15533.50783,14536.73868,2803.657312
A6,1.922282521,55.84779053,0,61.04901118,4.299226139,0.392476354,0.300128977,0.392476354,0,486.2185918,217.636381,48.54081808,122.0332287,752.3957909,1.085081685
A7,424.9158765,386.6341906,335.3083405,0.091315563,19.80773861,0.577171109,4.201805675,4.178718831,22.09324544,1341.15076,0,218.3740044,1157.799766,1559.524764,31.05094105
A8,2740.996746,4389.949998,1191.698538,345.1418745,150.4729149,0.947348761,115.8607535,8.81034348,0,4309.654605,0,423.022905,8692.641625,4732.67751,125.6184458
A9,5247.905341,1734.867625,666.7013758,229.1678418,382.0028936,2.537451978,213.5438448,30.97975163,2996.284442,8483.929265,1323.401263,1990.345026,8013.584029,11797.67555,3243.34549
A10,603.2902681,72.72136348,4.923817713,7.661650903,15.13981083,0,7.742466753,1.121572287,24.26,1216.199293,20.08693991,14.88726474,694.872872,1251.173498,33.12403904
A11,62.31997342,527.9775485,0.293035254,16.91418745,24.23688736,0.064804772,0.94750718,0,127.2484992,245.5556989,0,27.00621072,630.72932,272.5619096,128.2608111
A12,3949.523502,1315.413729,1972.673431,339.350215,1857.660206,1.910968775,137.4282615,152.8505869,1163.97255,7198.113117,904.5740956,2584.496809,9142.431265,10687.18402,1456.162368
A13,0,17.63244346,10.89071367,0,4.405503009,0,0,0,9.45,107.420942,1.218114073,0,32.92866014,108.6390561,9.45
A14,251.4345343,12.51121276,0.020206363,32.48357696,33.6810834,1.088396382,2.762852355,0.58605959,22.8,916.2845132,222.0311455,0,325.6933055,1138.315659,27.23730833
A15,36.74961625,71.85898409,6.276870163,27.34307825,11.00601892,0.808039553,0.253955288,0.484823732,67.54,628.7044999,457.4376612,0,151.6877491,1086.142161,69.08681857
A16,8.945972453,7.80606419,8.918400688,2.078245916,9.197237698,0.009881169,3.177049914,0,81.03863578,56.18371436,15.19250856,1.190561452,33.75898986,72.56678437,84.22556687
A17,19.75713522,60.30324757,12.12381771,142.816423,43.01607911,0.438650043,26.29591574,0.300128977,173.9992357,2001.074807,162.6779402,4.552563438,250.9820079,2168.30531,201.0339304
A18,0,0,8.167669819,0,0.571367154,0,0,0,4.74,6.692462024,0.143307538,5.85038693,8.739036973,12.68615649,4.74
A19,8.488839209,594.7024155,95.31547721,163.4856406,267.2221899,4.318763629,35.6104647,0,300.1636239,896.3555747,330.3023088,134.4713351,1089.285334,1361.129219,340.0928522
A20,3538.494339,402.3079004,80.57592433,319.1563199,80.46655202,0.839802144,119.6360189,66.95665354,636.652108,3314.359224,923.115482,254.4325639,4233.568561,4491.90727,824.0845826
A21,202.3570435,832.9722132,4.870077386,776.1513328,77.93645744,0.507910576,64.59699054,6.625924334,653.427773,4783.414541,307.6573994,132.9382281,1822.556299,5224.010168,725.1585985
A22,1037.908505,1032.060518,68.45700774,216.51092,67.88435082,0.042219379,12.66581378,0.295535655,327.6890943,1839.149231,0,600.6715391,2409.817733,2439.82077,340.6926631
A23,1416.77862,564.6059309,170.4213242,39.74763543,5.234823732,1.354819164,32.96726631,0.580636784,202.48,3330.873221,78.74749212,0,2161.885612,3409.620713,237.3827223
A24,368.83828,0.515907137,23.57970765,11.2883061,11.37592433,0,4.124993844,0.199137634,29.07307729,620.7127162,34.68042419,28.71984274,411.2739938,684.1129831,33.39720877
A25,378.4771161,0.44003844,43.50816853,94.49699054,48.40928633,0.577171109,11.77429063,1.546818573,149.37,491.4254323,132.9655107,0,551.4333197,624.390943,163.2682803
A26,1216.545194,170.6507507,0.972570937,910.4460017,72.51380766,0.132775646,18.61514556,0,496.944,4884.124399,1776.407094,408.2686402,2352.380404,7068.800134,515.6919212
A27,5732.447598,1214.103417,8.34049871,771.883061,151.3327601,0,137.7543409,0,910.4452342,5385.091239,2957.772045,1219.772759,7740.352994,9562.636043,1048.199575
A28,375.7478957,3222.016142,647.7097163,1670.104557,788.5072274,2.243117799,102.0288457,0,942.1096813,2759.931678,84.22068796,600.6196004,6599.813575,3444.771966,1046.381645
A29,1073.9984,0.873073616,0,0,430.1807395,0.159673291,0,0,15.44,89.87754371,700.1826455,0,1504.89254,790.0601892,15.59967329
A30,11411.9377,197.9628955,0,1.461736887,20.55030095,13.84350817,54.42820292,0,139.2804803,775.2579536,211.0203497,444.6046742,11563.64092,1430.882977,207.5521914
