Ai,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
A1,0.36686721,6.133128323,3.405933534,3.819460874,2.177565867,0.007332834,0.428188044,0.003625221,4.83461226,7.667694951,0.236082433,0.323219736,3.256412217,4.213531765,1.281599108
A2,10.91087792,3.683459392,3.627384072,0.425964701,0.499302858,0.052940488,0.263739884,0.024063858,6.254483436,27.52201043,0.442635044,2.024944458,5.844008158,11.32471036,1.591474735
A3,3.204250341,0.729119077,2.996417213,2.906851758,3.77823081,0.027287523,0.60744399,0.012259612,4.82886572,17.50071589,1.487504428,0.885706881,2.993042619,10.64089673,1.289760839
A4,0.058965659,37.80597679,2.089533848,9.785543391,3.980114363,0.029776195,0.410197338,0,5.557293052,17.95942544,21.1358619,2.495443434,10.40761414,20.01647143,1.627600418
A5,3.568844854,13.70122524,6.410178754,1.816817423,6.775628601,0.004721037,0.508385701,0,4.593133094,10.71372856,1.445250578,0.879988919,7.222768925,6.405189034,1.260924408
A6,0.243656017,6.489303797,0.095500568,8.289808549,0.444096887,0.054684082,0.038600528,0.061117503,0,27.38198856,20.11515211,3.45033502,4.213004453,24.46489743,0.037103074
A7,8.15414433,7.852861593,6.216667238,0.007251721,0.426570127,0.01113618,0.078921625,0,0.971664902,20.91198848,0,4.510309926,6.939079055,8.145552033,0.305836152
A8,11.10237487,18.46149308,4.890409237,1.451056833,0.588237219,0.004592802,0.412089187,0.031345876,4.098650626,15.47484348,0,1.823270827,10.13353902,5.778209103,1.510773351
A9,11.62060915,4.346015722,1.672718179,0.658235749,0.912901552,0.00814472,0.501805199,0.072764215,6.71647843,14.35671636,2.452597796,3.425499687,5.263630563,8.174100749,2.062882867
A10,38.31414793,5.613642889,0.361195996,1.069650686,1.307923981,0,0.432183145,0.067715331,0.051710582,36.25667989,0.894216435,0.48669554,10.42080394,17.68992703,0.15629375
A11,2.475888913,22.0436369,0.020874801,1.340179184,0.9615252,0.002699555,0.027337054,0,2.945744862,5.555539909,0,0.71585675,5.755929313,2.395838168,1.013323909
A12,14.21406772,5.083095847,6.80194344,1.269209188,6.643471923,0.006185212,0.488183562,0.506201354,3.240675766,12.54900764,1.663049738,4.675317574,7.585917161,8.705659514,1.12314798
A13,0,4.536880046,2.985838968,0,1.064338235,0,0,0,1.355655357,24.4984896,0.262943969,0,2.26150867,7.047497656,0.550210782
A14,38.29157004,1.907909182,0.005122422,5.724494161,5.322156084,0.120922828,0.295589136,0.053743479,1.05118707,39.50034902,12.31207576,0,8.063165327,28.70358004,0.370969211
A15,3.622938039,9.023070098,0.552255041,2.250857669,1.422475107,0.051994037,0.017331346,0.034662691,3.310782029,25.93608722,20.63062157,0,3.224342541,21.29339131,1.095572126
A16,1.467232085,1.790808339,1.415788681,0.354483625,1.646094415,0.001019481,0.175167771,0,4.513833412,5.502088781,1.427372547,0.119244159,0.97402725,2.022595527,2.363928918
A17,0.520785756,1.581796712,0.546925784,3.346065048,1.296357564,0.014080382,0.669991496,0.006453508,4.422507408,19.00642635,1.969035619,0.051148251,1.363007497,11.84527693,1.168495379
A18,0,0.000540693,5.364816769,0,0.348481314,0,0,0,3.007993314,8.246421819,0.085160983,8.522911143,2.285443137,2.767397418,1.155258428
A19,0.081259225,6.965048108,1.333919628,1.587764838,2.58095873,0.083578251,0.391996592,0,2.315052531,3.349461596,1.20149666,0.571533762,2.480351312,2.754686831,0.566807665
A20,57.0208546,7.386184178,1.513200889,5.223225369,1.375248961,0.009959767,1.434000637,0.831243532,6.078446537,24.78813086,6.703118106,1.988370585,14.87956734,16.0174586,2.477338542
A21,1.396117547,7.160721912,0.073668573,4.111004918,0.618681017,0.003766765,0.445683622,0.045803861,2.794742396,13.60130848,0.895998243,0.421258941,2.655046612,7.972282581,0.772541308
A22,23.34550678,23.06393915,1.604705187,4.573163623,1.402652377,0.000824946,0.350050211,0.005211185,4.787208986,31.55112463,0,10.07390381,14.62590588,14.60945507,1.633054024
A23,28.01259925,10.75416732,3.054384822,0.781843707,0.109082175,0.023157946,0.619631524,0.013143699,4.491047775,26.23506317,0.629642979,0,9.041366701,14.75159294,1.239047047
A24,28.389611,0.042881696,1.777796211,0.907794568,0.944730074,0,0.248950013,0.009335625,0.96982321,31.99428535,1.817256731,1.75103219,8.013174233,13.51300509,0.450314043
A25,14.81182118,0.01796565,1.808741686,3.831274603,2.042893987,0.026984053,0.551554052,0.076634712,6.174071105,7.428417474,2.45036901,0,5.211044208,5.354265065,1.463793875
A26,16.22227914,3.537519958,0.02515848,12.08875245,1.059055855,0.006569723,0.458566632,0,4.249549883,36.93462136,13.76502192,3.004204395,9.365801466,28.91070139,0.736727414
A27,45.88405098,10.94945229,0.099197896,6.762799232,1.173780265,0,2.044273275,0,15.59073522,35.94756453,20.27231127,9.230485942,22.6881233,28.28761055,3.589235265
A28,1.306356269,11.47363897,2.936446035,5.512658363,3.064413813,0.008052927,0.276009588,0,2.496393308,5.38183871,0.164570298,1.097294244,5.43247372,2.754693403,0.844907691
A29,67.93990528,0.052773443,0,0,27.31687332,0.109908889,0,0,5.1039469,7.378975437,69.25461759,0,48.30540769,25.99510414,0.523341604
A30,104.8562824,1.777161323,0,0.021838489,0.159888936,0.517745418,1.197286278,0,7.361970078,17.82178051,5.359874612,11.05521045,57.75719047,7.15741506,2.024414179
